close,date
132.045,2015-05-27
131.78,2015-05-28
130.28,2015-05-29
130.535,2015-06-01
129.96,2015-06-02
130.12,2015-06-03
129.36,2015-06-04
128.65,2015-06-05
127.8,2015-06-08
127.42,2015-06-09
128.88,2015-06-10
128.59,2015-06-11
127.17,2015-06-12
126.92,2015-06-15
127.6,2015-06-16
127.3,2015-06-17
127.88,2015-06-18
126.6,2015-06-19
127.61,2015-06-22
127.03,2015-06-23
128.11,2015-06-24
127.5,2015-06-25
126.75,2015-06-26
124.53,2015-06-29
125.425,2015-06-30
126.6,2015-07-01
126.44,2015-07-02
126.0,2015-07-06
125.69,2015-07-07
122.57,2015-07-08
120.07,2015-07-09
123.28,2015-07-10
125.66,2015-07-13
125.61,2015-07-14
126.82,2015-07-15
128.51,2015-07-16
129.62,2015-07-17
132.07,2015-07-20
130.75,2015-07-21
125.22,2015-07-22
125.16,2015-07-23
124.5,2015-07-24
122.77,2015-07-27
123.38,2015-07-28
122.99,2015-07-29
122.37,2015-07-30
121.3,2015-07-31
118.44,2015-08-03
114.64,2015-08-04
115.4,2015-08-05
115.13,2015-08-06
115.52,2015-08-07
119.72,2015-08-10
113.49,2015-08-11
115.24,2015-08-12
115.15,2015-08-13
115.96,2015-08-14
117.16,2015-08-17
116.5,2015-08-18
115.01,2015-08-19
112.65,2015-08-20
105.76,2015-08-21
103.12,2015-08-24
103.74,2015-08-25
109.69,2015-08-26
112.92,2015-08-27
113.29,2015-08-28
112.76,2015-08-31
107.72,2015-09-01
112.34,2015-09-02
110.37,2015-09-03
109.27,2015-09-04
112.31,2015-09-08
110.15,2015-09-09
112.57,2015-09-10
114.21,2015-09-11
115.31,2015-09-14
116.28,2015-09-15
116.41,2015-09-16
113.92,2015-09-17
113.45,2015-09-18
115.21,2015-09-21
113.4,2015-09-22
114.32,2015-09-23
115.0,2015-09-24
114.71,2015-09-25
112.44,2015-09-28
109.06,2015-09-29
109.95,2015-09-30
109.58,2015-10-01
110.38,2015-10-02
110.78,2015-10-05
111.31,2015-10-06
110.78,2015-10-07
109.5,2015-10-08
112.12,2015-10-09
111.6,2015-10-12
111.79,2015-10-13
110.21,2015-10-14
111.86,2015-10-15
111.04,2015-10-16
111.73,2015-10-19
113.77,2015-10-20
113.76,2015-10-21
115.5,2015-10-22
119.08,2015-10-23
115.28,2015-10-26
114.55,2015-10-27
119.27,2015-10-28
120.53,2015-10-29
119.5,2015-10-30
121.18,2015-11-02
122.57,2015-11-03
122.0,2015-11-04
120.92,2015-11-05
121.06,2015-11-06
120.57,2015-11-09
116.77,2015-11-10
116.11,2015-11-11
115.72,2015-11-12
112.34,2015-11-13
114.175,2015-11-16
113.69,2015-11-17
117.29,2015-11-18
118.78,2015-11-19
119.3,2015-11-20
117.75,2015-11-23
118.88,2015-11-24
118.03,2015-11-25
117.81,2015-11-27
118.3,2015-11-30
117.34,2015-12-01
116.28,2015-12-02
115.2,2015-12-03
119.03,2015-12-04
118.28,2015-12-07
118.23,2015-12-08
115.62,2015-12-09
116.17,2015-12-10
113.18,2015-12-11
112.48,2015-12-14
110.49,2015-12-15
111.34,2015-12-16
108.98,2015-12-17
106.03,2015-12-18
107.33,2015-12-21
107.23,2015-12-22
108.61,2015-12-23
108.03,2015-12-24
106.82,2015-12-28
108.74,2015-12-29
107.32,2015-12-30
105.26,2015-12-31
105.35,2016-01-04
102.71,2016-01-05
100.7,2016-01-06
96.45,2016-01-07
96.96,2016-01-08
98.53,2016-01-11
99.96,2016-01-12
97.39,2016-01-13
99.52,2016-01-14
97.13,2016-01-15
96.66,2016-01-19
96.79,2016-01-20
96.3,2016-01-21
101.42,2016-01-22
99.44,2016-01-25
99.99,2016-01-26
93.42,2016-01-27
94.09,2016-01-28
97.34,2016-01-29
96.43,2016-02-01
94.48,2016-02-02
96.35,2016-02-03
96.6,2016-02-04
94.02,2016-02-05
95.01,2016-02-08
94.99,2016-02-09
94.27,2016-02-10
93.7,2016-02-11
93.99,2016-02-12
96.64,2016-02-16
98.12,2016-02-17
96.26,2016-02-18
96.04,2016-02-19
96.88,2016-02-22
94.69,2016-02-23
96.1,2016-02-24
96.76,2016-02-25
96.91,2016-02-26
96.69,2016-02-29
100.53,2016-03-01
100.75,2016-03-02
101.5,2016-03-03
103.01,2016-03-04
101.87,2016-03-07
101.03,2016-03-08
101.12,2016-03-09
101.17,2016-03-10
102.26,2016-03-11
102.52,2016-03-14
104.58,2016-03-15
105.97,2016-03-16
105.8,2016-03-17
105.92,2016-03-18
105.91,2016-03-21
106.72,2016-03-22
106.13,2016-03-23
105.67,2016-03-24
105.19,2016-03-28
107.68,2016-03-29
109.56,2016-03-30
108.99,2016-03-31
109.99,2016-04-01
111.12,2016-04-04
109.81,2016-04-05
110.96,2016-04-06
108.54,2016-04-07
108.66,2016-04-08
109.02,2016-04-11
110.44,2016-04-12
112.04,2016-04-13
112.1,2016-04-14
109.85,2016-04-15
107.48,2016-04-18
106.91,2016-04-19
107.13,2016-04-20
105.97,2016-04-21
105.68,2016-04-22
105.08,2016-04-25
104.35,2016-04-26
97.82,2016-04-27
94.83,2016-04-28
93.74,2016-04-29
93.64,2016-05-02
95.18,2016-05-03
94.19,2016-05-04
93.24,2016-05-05
92.72,2016-05-06
92.79,2016-05-09
93.42,2016-05-10
92.51,2016-05-11
90.34,2016-05-12
90.52,2016-05-13
93.88,2016-05-16
93.49,2016-05-17
94.56,2016-05-18
94.2,2016-05-19
95.22,2016-05-20
96.43,2016-05-23
97.9,2016-05-24
99.62,2016-05-25
100.41,2016-05-26
100.35,2016-05-27
99.86,2016-05-31
98.46,2016-06-01
97.72,2016-06-02
97.92,2016-06-03
98.63,2016-06-06
99.03,2016-06-07
98.94,2016-06-08
99.65,2016-06-09
98.83,2016-06-10
97.34,2016-06-13
97.46,2016-06-14
97.14,2016-06-15
97.55,2016-06-16
95.33,2016-06-17
95.1,2016-06-20
95.91,2016-06-21
95.55,2016-06-22
96.1,2016-06-23
93.4,2016-06-24
92.04,2016-06-27
93.59,2016-06-28
94.4,2016-06-29
95.6,2016-06-30
95.89,2016-07-01
94.99,2016-07-05
95.53,2016-07-06
95.94,2016-07-07
96.68,2016-07-08
96.98,2016-07-11
97.42,2016-07-12
96.87,2016-07-13
98.79,2016-07-14
98.78,2016-07-15
99.83,2016-07-18
99.87,2016-07-19
99.96,2016-07-20
99.43,2016-07-21
98.66,2016-07-22
97.34,2016-07-25
96.67,2016-07-26
102.95,2016-07-27
104.34,2016-07-28
104.21,2016-07-29
106.05,2016-08-01
104.48,2016-08-02
105.79,2016-08-03
105.87,2016-08-04
107.48,2016-08-05
108.37,2016-08-08
108.81,2016-08-09
108.0,2016-08-10
107.93,2016-08-11
108.18,2016-08-12
109.48,2016-08-15
109.38,2016-08-16
109.22,2016-08-17
109.08,2016-08-18
109.36,2016-08-19
108.51,2016-08-22
108.85,2016-08-23
108.03,2016-08-24
107.57,2016-08-25
106.94,2016-08-26
106.82,2016-08-29
106.0,2016-08-30
106.1,2016-08-31
106.73,2016-09-01
107.73,2016-09-02
107.7,2016-09-06
108.36,2016-09-07
105.52,2016-09-08
103.13,2016-09-09
105.44,2016-09-12
107.95,2016-09-13
111.77,2016-09-14
115.57,2016-09-15
114.92,2016-09-16
113.58,2016-09-19
113.57,2016-09-20
113.55,2016-09-21
114.62,2016-09-22
112.71,2016-09-23
112.88,2016-09-26
113.09,2016-09-27
113.95,2016-09-28
112.18,2016-09-29
113.05,2016-09-30
112.52,2016-10-03
113.0,2016-10-04
113.05,2016-10-05
113.89,2016-10-06
114.06,2016-10-07
116.05,2016-10-10
116.3,2016-10-11
117.34,2016-10-12
116.98,2016-10-13
117.63,2016-10-14
117.55,2016-10-17
117.47,2016-10-18
117.12,2016-10-19
117.06,2016-10-20
116.6,2016-10-21
117.65,2016-10-24
118.25,2016-10-25
115.59,2016-10-26
114.48,2016-10-27
113.72,2016-10-28
113.54,2016-10-31
111.49,2016-11-01
111.59,2016-11-02
109.83,2016-11-03
108.84,2016-11-04
110.41,2016-11-07
111.06,2016-11-08
110.88,2016-11-09
107.79,2016-11-10
108.43,2016-11-11
105.71,2016-11-14
107.11,2016-11-15
109.99,2016-11-16
109.95,2016-11-17
110.06,2016-11-18
111.73,2016-11-21
111.8,2016-11-22
111.23,2016-11-23
111.79,2016-11-25
111.57,2016-11-28
111.46,2016-11-29
110.52,2016-11-30
109.49,2016-12-01
109.9,2016-12-02
109.11,2016-12-05
109.95,2016-12-06
111.03,2016-12-07
112.12,2016-12-08
113.95,2016-12-09
113.3,2016-12-12
115.19,2016-12-13
115.19,2016-12-14
115.82,2016-12-15
115.97,2016-12-16
116.64,2016-12-19
116.95,2016-12-20
117.06,2016-12-21
116.29,2016-12-22
116.52,2016-12-23
117.26,2016-12-27
116.76,2016-12-28
116.73,2016-12-29
115.82,2016-12-30
116.15,2017-01-03
116.02,2017-01-04
116.61,2017-01-05
117.91,2017-01-06
118.99,2017-01-09
119.11,2017-01-10
119.75,2017-01-11
119.25,2017-01-12
119.04,2017-01-13
120.0,2017-01-17
119.99,2017-01-18
119.78,2017-01-19
120.0,2017-01-20
120.08,2017-01-23
119.97,2017-01-24
121.88,2017-01-25
121.94,2017-01-26
121.95,2017-01-27
121.63,2017-01-30
121.35,2017-01-31
128.75,2017-02-01
128.53,2017-02-02
129.08,2017-02-03
130.29,2017-02-06
131.53,2017-02-07
132.04,2017-02-08
132.42,2017-02-09
132.12,2017-02-10
133.29,2017-02-13
135.02,2017-02-14
135.51,2017-02-15
135.345,2017-02-16
135.72,2017-02-17
136.7,2017-02-21
137.11,2017-02-22
136.53,2017-02-23
136.66,2017-02-24
136.93,2017-02-27
136.99,2017-02-28
139.79,2017-03-01
138.96,2017-03-02
139.78,2017-03-03
139.34,2017-03-06
139.52,2017-03-07
139.0,2017-03-08
138.68,2017-03-09
139.14,2017-03-10
139.2,2017-03-13
138.99,2017-03-14
140.46,2017-03-15
140.69,2017-03-16
139.99,2017-03-17
141.46,2017-03-20
139.84,2017-03-21
141.42,2017-03-22
140.92,2017-03-23
140.64,2017-03-24
140.88,2017-03-27
143.8,2017-03-28
144.12,2017-03-29
143.93,2017-03-30
143.66,2017-03-31
143.7,2017-04-03
144.77,2017-04-04
144.02,2017-04-05
143.66,2017-04-06
143.34,2017-04-07
143.17,2017-04-10
141.63,2017-04-11
141.8,2017-04-12
141.05,2017-04-13
141.83,2017-04-17
141.2,2017-04-18
140.68,2017-04-19
142.44,2017-04-20
142.27,2017-04-21
143.64,2017-04-24
144.53,2017-04-25
143.68,2017-04-26
143.79,2017-04-27
143.65,2017-04-28
146.58,2017-05-01
147.51,2017-05-02
147.06,2017-05-03
146.53,2017-05-04
148.96,2017-05-05
153.01,2017-05-08
153.99,2017-05-09
153.26,2017-05-10
153.95,2017-05-11
156.1,2017-05-12
155.7,2017-05-15
155.47,2017-05-16
150.25,2017-05-17
152.54,2017-05-18
153.06,2017-05-19
153.99,2017-05-22
153.8,2017-05-23
153.34,2017-05-24
153.87,2017-05-25
153.61,2017-05-26
153.67,2017-05-30
152.76,2017-05-31
153.18,2017-06-01
155.45,2017-06-02
153.93,2017-06-05
154.45,2017-06-06
155.37,2017-06-07
154.99,2017-06-08
148.98,2017-06-09
145.42,2017-06-12
146.59,2017-06-13
145.16,2017-06-14
144.29,2017-06-15
142.27,2017-06-16
146.34,2017-06-19
145.01,2017-06-20
145.87,2017-06-21
145.63,2017-06-22
146.28,2017-06-23
145.82,2017-06-26
143.73,2017-06-27
145.83,2017-06-28
143.68,2017-06-29
144.02,2017-06-30
143.5,2017-07-03
144.09,2017-07-05
142.73,2017-07-06
144.18,2017-07-07
145.06,2017-07-10
145.53,2017-07-11
145.74,2017-07-12
147.77,2017-07-13
149.04,2017-07-14
149.56,2017-07-17
150.08,2017-07-18
151.02,2017-07-19
150.34,2017-07-20
150.27,2017-07-21
152.09,2017-07-24
152.74,2017-07-25
153.46,2017-07-26
150.56,2017-07-27
149.5,2017-07-28
148.73,2017-07-31
150.05,2017-08-01
157.14,2017-08-02
155.57,2017-08-03
156.39,2017-08-04
158.81,2017-08-07
160.08,2017-08-08
161.06,2017-08-09
155.32,2017-08-10
157.48,2017-08-11
159.85,2017-08-14
161.6,2017-08-15
160.95,2017-08-16
157.86,2017-08-17
157.5,2017-08-18
157.21,2017-08-21
159.78,2017-08-22
159.98,2017-08-23
159.27,2017-08-24
159.86,2017-08-25
161.47,2017-08-28
162.91,2017-08-29
163.35,2017-08-30
164.0,2017-08-31
164.05,2017-09-01
162.08,2017-09-05
161.91,2017-09-06
161.26,2017-09-07
158.63,2017-09-08
161.5,2017-09-11
160.86,2017-09-12
159.65,2017-09-13
158.28,2017-09-14
159.88,2017-09-15
158.67,2017-09-18
158.73,2017-09-19
156.07,2017-09-20
153.39,2017-09-21
151.89,2017-09-22
150.55,2017-09-25
153.14,2017-09-26
154.23,2017-09-27
153.28,2017-09-28
154.12,2017-09-29
153.81,2017-10-02
154.48,2017-10-03
153.48,2017-10-04
155.39,2017-10-05
155.3,2017-10-06
155.84,2017-10-09
155.9,2017-10-10
156.55,2017-10-11
156.0,2017-10-12
156.99,2017-10-13
159.88,2017-10-16
160.47,2017-10-17
159.76,2017-10-18
155.98,2017-10-19
156.25,2017-10-20
156.17,2017-10-23
157.1,2017-10-24
156.41,2017-10-25
157.41,2017-10-26
163.05,2017-10-27
166.72,2017-10-30
169.04,2017-10-31
166.89,2017-11-01
168.11,2017-11-02
172.5,2017-11-03
174.25,2017-11-06
174.81,2017-11-07
176.24,2017-11-08
175.88,2017-11-09
174.67,2017-11-10
173.97,2017-11-13
171.34,2017-11-14
169.08,2017-11-15
171.1,2017-11-16
170.15,2017-11-17
169.98,2017-11-20
173.14,2017-11-21
174.96,2017-11-22
174.97,2017-11-24
174.09,2017-11-27
173.07,2017-11-28
169.48,2017-11-29
171.85,2017-11-30
171.05,2017-12-01
169.8,2017-12-04
169.64,2017-12-05
169.01,2017-12-06
169.32,2017-12-07
169.37,2017-12-08
172.67,2017-12-11
171.7,2017-12-12
172.27,2017-12-13
172.22,2017-12-14
173.97,2017-12-15
176.42,2017-12-18
174.54,2017-12-19
174.35,2017-12-20
175.01,2017-12-21
175.01,2017-12-22
170.57,2017-12-26
170.6,2017-12-27
171.08,2017-12-28
169.23,2017-12-29
172.26,2018-01-02
172.23,2018-01-03
173.03,2018-01-04
175.0,2018-01-05
174.35,2018-01-08
174.33,2018-01-09
174.29,2018-01-10
175.28,2018-01-11
177.09,2018-01-12
176.19,2018-01-16
179.1,2018-01-17
179.26,2018-01-18
178.46,2018-01-19
177.0,2018-01-22
177.04,2018-01-23
174.22,2018-01-24
171.11,2018-01-25
171.51,2018-01-26
167.96,2018-01-29
166.97,2018-01-30
167.43,2018-01-31
167.78,2018-02-01
160.5,2018-02-02
156.49,2018-02-05
163.03,2018-02-06
159.54,2018-02-07
155.15,2018-02-08
156.41,2018-02-09
162.71,2018-02-12
164.34,2018-02-13
167.37,2018-02-14
172.99,2018-02-15
172.43,2018-02-16
171.85,2018-02-20
171.07,2018-02-21
172.5,2018-02-22
175.5,2018-02-23
178.97,2018-02-26
178.39,2018-02-27
178.12,2018-02-28
175.0,2018-03-01
176.21,2018-03-02
176.82,2018-03-05
176.67,2018-03-06
175.03,2018-03-07
176.94,2018-03-08
179.98,2018-03-09
181.72,2018-03-12
179.97,2018-03-13
178.44,2018-03-14
178.65,2018-03-15
178.02,2018-03-16
175.3,2018-03-19
175.24,2018-03-20
171.27,2018-03-21
168.85,2018-03-22
164.94,2018-03-23
172.77,2018-03-26
168.34,2018-03-27
166.48,2018-03-28
167.78,2018-03-29
166.68,2018-04-02
168.39,2018-04-03
171.61,2018-04-04
172.8,2018-04-05
168.38,2018-04-06
170.05,2018-04-09
173.25,2018-04-10
172.44,2018-04-11
174.14,2018-04-12
174.73,2018-04-13
175.82,2018-04-16
178.24,2018-04-17
177.84,2018-04-18
172.8,2018-04-19
165.72,2018-04-20
165.24,2018-04-23
162.94,2018-04-24
163.65,2018-04-25
164.22,2018-04-26
162.32,2018-04-27
165.26,2018-04-30
169.1,2018-05-01
176.57,2018-05-02
176.89,2018-05-03
183.83,2018-05-04
185.16,2018-05-07
186.05,2018-05-08
187.36,2018-05-09
190.04,2018-05-10
188.59,2018-05-11
188.15,2018-05-14
186.44,2018-05-15
188.18,2018-05-16
186.99,2018-05-17
186.31,2018-05-18
187.63,2018-05-21
187.16,2018-05-22
188.36,2018-05-23
188.15,2018-05-24
188.58,2018-05-25
187.9,2018-05-29
187.5,2018-05-30
186.87,2018-05-31
190.24,2018-06-01
191.83,2018-06-04
193.31,2018-06-05
193.98,2018-06-06
193.46,2018-06-07
191.7,2018-06-08
191.23,2018-06-11
192.28,2018-06-12
190.7,2018-06-13
190.8,2018-06-14
188.84,2018-06-15
188.74,2018-06-18
185.69,2018-06-19
186.5,2018-06-20
185.46,2018-06-21
184.92,2018-06-22
182.17,2018-06-25
184.43,2018-06-26
184.16,2018-06-27
185.5,2018-06-28
185.11,2018-06-29
187.18,2018-07-02
183.92,2018-07-03
185.4,2018-07-05
187.97,2018-07-06
190.58,2018-07-09
190.35,2018-07-10
187.88,2018-07-11
191.03,2018-07-12
191.33,2018-07-13
190.91,2018-07-16
191.45,2018-07-17
190.4,2018-07-18
191.88,2018-07-19
191.44,2018-07-20
191.61,2018-07-23
193.0,2018-07-24
194.82,2018-07-25
194.21,2018-07-26
190.98,2018-07-27
189.91,2018-07-30
190.29,2018-07-31
201.5,2018-08-01
207.39,2018-08-02
207.99,2018-08-03
209.07,2018-08-06
207.11,2018-08-07
207.25,2018-08-08
208.88,2018-08-09
207.53,2018-08-10
208.87,2018-08-13
209.75,2018-08-14
210.24,2018-08-15
213.32,2018-08-16
217.58,2018-08-17
215.46,2018-08-20
215.04,2018-08-21
215.05,2018-08-22
215.49,2018-08-23
216.16,2018-08-24
217.94,2018-08-27
